star_academy_sessions
Module,Session,Focus,Objectives,Materials,Teacher_Preparations,Performance_Assessment_Questions,,,
Weather v1.1,1,Layers of the Atmosphere; Weather Measurement,"• Define weather and climate.
• Learn the composition and layers of the atmosphere.
• Use a computerized weather station to measure weather conditions.",Weather Monitor,"Ensure the Weather Station has been operational for 24 hours prior to the start of Session 1.","1. The student can define the troposphere, including its locations and thickness.
2. The student can explain how the troposphere relates to weather.
3. The student can show how to obtain specific readings for the current day on the weather monitor.
4. The student can define any weather measurement requested by the instructor and name the instrument used to obtain the measurement.",,,
Weather v1.1,2,Check the Weather; Light Intensity,"• Explore how the Sun affects climate and seasons.
• Determine the effect of light angle on light intensity.","Globe, Flashlight, Two ""Weather Conversion"" Worksheets, Solar Light Apparatus, Plastic Grid, Light Meter, Black Dry Erase Marker, 12"" Ruler, Two ""Light Intensity Log"" Worksheets, Paper Towels",N/A,"1. The student can use the globe and flashlight to demonstrate which regions of Earth receive the most direct and least direct sunlight.
2. The student can use the light apparatus and grid to demonstrate the change in area covered by light as the angle changes
3. The student can use the light apparatus, grid, and light intensity meter to demonstrate and explain how light energy changes and how light angles change.
4. The student can explain how differences in light angle and intensity at different regions on Earth affect climate and seasons.",,,
Weather v1.1,3,Check the Weather; Hydrologic Cycle,"• Demonstrate how the Sun's energy powers the water cycle.
• Learn the states of water.
• Explore the ability of water to store and release heat.","""""Weather Conversion"""" Worksheets from Student Portfolio, Two """"Hydrologic Cycle"""" Worksheets, Large Container with Lid, Hot Pot, 1,000-mL Beaker (with handle), 100-mL Graduated Cylinder, Digital Timer, Leather Gloves, Paper Towels","• NOTE: this module comes with two blue boxes- one is to use for supplies, the other is to be left empty.
• Ensure students have access to water prior to the start of the session.",N/A,,,
Weather v1.1,4,Check the Weather; Clouds,"• Learn how clouds are formed.
• Make a cloud chamber to observe condensation.
• Classify types of clouds.
• Relate cloud types to weather conditions.","""""Weather Conversion"""" Worksheets from the Student Portfolio, Ice, Hot Pot, Two 1,000 mL Handled Beakers, 100-mL Graduated Cylinder, Two 16 oz Plastic Jars, Two Resealable Plastic Bags, Two Pie Pans, Paper Towels","Ensure students have access to water prior to the beginning of the session.",N/A,,,
Weather v1.1,5,Check the Weather; Heat Transfer and Coriolis Force,"• Study types of heat transfer.
• Review Earth's wind systems and ocean currents.
• Relate wind and ocean currents to weather.","""""Weather Conversion"""" Worksheets from the Student Portfolio, Globe, Washable Markers, Paper Towels",N/A,N/A,,,
Weather v1.1,6,Check the Weather; Air Masses and Fronts,"• Survey types of air masses and fronts and their effects on weather.
• Learn symbols used on weather maps.
• Plot weather information on a map.","""""Weather Conversion"""" Worksheets from the Student Portfolio, US Map, Weather Symbols, Poster tack, Student Module Notebook",N/A,"1. The student can explain the abbreviations ""cP"" and ""mT"" and tell where each air mass originates.
2. The student can diagram a cold front and explain both the horizontal and vertical movement of the air masses.
3. The student can show his or her completed weather map, explain any symbols pointed out by the instructor, and describe the weather at that location.
4. The student can list similarities and differences between isotherms and isobars.",,,
Weather v1.1,7,"Graph weather data; severe weather, windchill, and heath index","• Generate and print graphs of recent weather.
• Explore weather extremes and their effects on people.
• Learn to measure heat index and windchill temperature index.",Tornado Tube (with connected bottles),N/A,N/A,,,
Weights and Measures,1,Customary System of Measurement (Length and Ratio),"• Learn about early forms of measurement.
• Create your own measuring units for length.","Black string, white string, scissors, Measurements worksheet",N/A,N/A,,,
Weights and Measures,2,Customary System of Measurement (Basic Units),"• Identify the basic units of measurement in the Customary System.
• Learn the different parts of a ruler using the Master Ruler.","Master ruler, measurement worksheet, customary measurement page (from student notebook)",N/A,"1. Name the two types of measurement used in the United States.
2. Demonstrate measuring a line segment to the nearest ½ inch.
3. Demonstrate measuring a line segment to the nearest ¼ inch.
4. Write a ratio in a/b form.",,,
Weights and Measures,3,Customary Unit of Measure (Capacity and Weight),"• Continue working with the Customary System of measurement to find the capacity of weight of items.","small plastic container (16-ounce) (labeled 1), medium plastic container (32-ounce) (labeled 2), large plastic container (128-ounce) (labeled 3), graduated beaker (30-ml) (labeled 4), measuring cup, (2) plastic pitchers filled with colored water, Paper towels, Cake pan, Safety glasses, Measurement 3 worksheet, 10-pack of play-doh, electronic scale, small/medium/large drinking cups, scratch paper, box of styrofoam peanuts, 3 popcorn buckets","• Students need access to water.
• Label the small plastic container (16 ounce) with a 1. Fill the measuring cup to the 8 fluid ounce mark twice, pour the water into this container. Use black permanent marker, mark a line around the outside of the container. This is one pint.
• Label the medium plastic container (32 ounce) with a 2. Fill the 1 container with water twice and pour the water into this container. Using the black permanent marker, make a line around the outside of the container. This is one quart.
• Label the large plastic container (128 ounce) with a 3. Fill the 2 containers with water four times and pour the water into this container. Using the black permanent marker, make a line around the outside of the container. This is one gallon.
• Label the 30 ml graduated beaker with a 4. Fill the measuring cup to the one-ounce mark and pour the water into this container. Using the permanent black marker, make a ring around the outside of the beaker. This is one ounce.
• Fill the measuring cup to the 250 ml mark. Pour the water into the clear liter bottle. Repeat this process four times. Using the permanent black marker, make a line around the outside of the bottle. This is one liter.
• The students will need two pitchers of colored water. Fill both pitchers with water and add two tablets of the same color to both. After the tablets have dissolved, stir the water with the serving spoon.","1. Demonstrate how to measure the number of quarts in a gallon.
2. Demonstrate how to measure the number of pins in a quart.
3. Demonstrate how to measure the fluid ounces in a drink container.
4. Demonstrate how to measure the ounces of popcorn in a container.",,,
